id	emotion	text
1870	anger	one teacher unjustly gave me zero in a test saying that I   was cribbing.
1871	shame	the teacher asked me to read my composition that was the   homework I stood up and invented one because I hadn't done it. A   colleague saw that in my copy book there was nothing written and   he accused me and so I was called in the director's room.
1872	neutral	in the end of a semester I got the approval in a matter that   I judged very difficult.
1873	fear	Crossing a street of several ways the cars began to move and I   thought that I was going to be trampled.
1874	anger	"I went to the school library and asked for a book, but the   librarian told me that there wasn't such. However an other   colleague asked for it she gave it to him."
1875	sadness	Some colleagues decided to go out on a Saturday not inviting me   to decide either the place nor the time.
1876	disgust	A teacher giving a test was called by a student by his first   name. He (the teacher) said that he didn't give him this liberty.
1877	guilt	I answered to my mother with rudeness.
1878	neutral	The situation in which I felt happiest in my life was   I was with the person I love for the first time.
1879	fear	Fear of thief.
1880	anger	I feel anger somebody forbids me to do something.
1881	sadness	I felt sad I was despised by another person.
1882	disgust	I felt disgust of dirty.
1883	shame	Shame of not doing something well.
1884	guilt	I felt guilty I couldn't help a person.
1885	fear	I was inside the car with my husband and we were assaulted with a   gun at 10 o'clock in the evening.
1886	anger	they changed my office to another room without my agreement.
1887	sadness	"I couldn't sleep, and began to remind of my childhood. We are many   sisters and at that time we were spanked a lot and I don't know   why I started to remind of the spanks they and I had had, their   shouts this happened."
1888	disgust	I red a report in the magazine VESA about an Iranian telling   what she had lived in the prisons in Iran. I felt disgust about   that people.
1889	shame	I made a comment that at the moment didn't fit.
1890	neutral	"I was in ILHA GRANDE with a wonderful sun, with wonderful people,   with a wonderful sea, with a wonderful boy."
1891	fear	I was looking for a job I felt a lot of fear but the fear   was greater I found it.
1892	disgust	"I had this feeling I met a girl, not that she was dirty but   she was to ""fresh"", dump and childish."
1893	shame	"I was very fat, and was ashamed of my body."
1894	neutral	I felt happy my mother borrowed me the car in order to let   me go out alone for the first time.
1895	fear	I felt afraid I smoked maryhuana for the first time in my   life with a lot of friends in the middle of the street at day   brake.
1896	anger	"I felt anger I had a fight with my father, and he beated me.   My mother came to help me (because I was beeing beated) and he   also beated my mother."
1897	sadness	It happened I lost two very intimate friends in a car   accident.
1898	disgust	I felt disgust of my father I knew he had a lover.
1899	shame	my mother found out that I smoke maryhuana.
1900	neutral	Always I am well succeded.
1901	fear	there is danger nearby.
1902	anger	I feel anger things don't come out as I wish.
1903	sadness	I couldn't go for a trip with my friends in a holiday.
1904	disgust	Disgust of drunkers and of blood.
1905	shame	Shame of being reprehended.
1906	neutral	"there was a possibility of getting on better in professional   life. I valorized very much this aspect. People showed me this   possibility, not the real fact (even because until now ...)"
1907	fear	"I was curious about it and went to a spiritism session with a   friend. I had already been there other times (many times I   was younger) but that day, even if I don't believe in   spiritism I was terribly afraid that something would happen to me   (sort of incorporation !)."
1908	anger	they denied a job to a person that I propsed giving political   reasons that has nothing to do directly with the professional   level.
1909	sadness	"During an informal talk with a friend we talk about the life   of another person, a common friend, that is in a situation of not   being able to assume certain problems that he decided to solve,   that is, she herself suggested the problems and decided to solve   them but didn't get it until the moment."
1910	disgust	"my friends and I were camping in a weekend, and with little   food, we met a middle age couple from a small town that invited   us to eat in their house. Their house was small, badly built with   old and dirty forniture and utensils. The problem was with pans,   and dishes, and even the food."
1911	neutral	I got a wedding ring of diamond from the boy I loved.
1912	fear	"Afraid of getting alone without friends, without anybody."
1913	anger	they stole my dark blue tennis.
1914	disgust	I went in a clinical hospital and saw in what conditions   people are attended there.
